pretrain_optimizer,run_folder,run_path,pretrain_base_path,finetune_type,finetune_optimizer,name_suffix,checkpoint_step,tensor_name,tensor_shape,numel,l_inf,l2,rms_rms_induced
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,lm_head.weight,"163840,2048",335544320,0.05617523193359375,67.68635691965864,4.787468846776678
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.embed_tokens.weight,"163840,2048",335544320,0.01596832275390625,3.2816515921862934,0.04538790701189973
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.0.input_layernorm.weight,2048,2048,0.0,0.0,nan
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.0.mlp.down_proj.weight,"2048,11264",23068672,0.01602935791015625,9.559089601015577,4.374976291093411
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.0.mlp.gate_proj.weight,"11264,2048",23068672,0.015625,9.544057477133666,0.8062388120248208
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.0.mlp.up_proj.weight,"11264,2048",23068672,0.01543426513671875,9.647643763214143,0.8254222325755826
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.0.post_attention_layernorm.weight,2048,2048,0.0025634765625,0.0025750760631993394,nan
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.0.self_attn.kv_a_layernorm.weight,512,512,0.007080078125,0.041164816567121905,nan
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.0.self_attn.kv_a_proj_with_mqa.weight,"576,2048",1179648,0.0145263671875,2.158563119544654,1.0645143043908494
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.0.self_attn.kv_b_proj.weight,"4096,512",2097152,0.01495361328125,2.673722905275402,0.2654816289975449
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.0.self_attn.o_proj.weight,"2048,2048",4194304,0.015655517578125,4.09864738412684,1.3237876892089844
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.0.self_attn.q_proj.weight,"3072,2048",6291456,0.016845703125,4.447931306027242,1.1234651692854263
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.1.input_layernorm.weight,2048,2048,0.0,0.0,nan
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.1.mlp.experts.0.down_proj.weight,"2048,1408",2883584,0.014862060546875,3.266231498797253,0.5658909048290519
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.1.mlp.experts.0.gate_proj.weight,"1408,2048",2883584,0.014251708984375,3.1992807533674172,1.0090201267376213
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.1.mlp.experts.0.up_proj.weight,"1408,2048",2883584,0.014556884765625,3.2682105237370833,1.0479372874058615
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.1.mlp.experts.1.down_proj.weight,"2048,1408",2883584,0.014068603515625,3.4095434662956814,0.5501699558172006
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.1.mlp.experts.1.gate_proj.weight,"1408,2048",2883584,0.01397705078125,3.4461967734791474,1.0880318673343266
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.1.mlp.experts.1.up_proj.weight,"1408,2048",2883584,0.013149261474609375,3.507269258638106,1.1508623779536444
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,model.layers.1.mlp.experts.10.down_proj.weight,"2048,1408",2883584,0.013427734375,2.8544198548075457,0.5252891653383673
