pretrain_optimizer,run_folder,run_path,pretrain_base_path,finetune_type,finetune_optimizer,name_suffix,checkpoint_step,tensor_name,tensor_shape,numel,l_inf,l2,rms_rms_induced
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,lm_head.weight,"163840,2048",335544320,0.564453125,20.42658227877955,0.345370800258948
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.embed_tokens.weight,"163840,2048",335544320,0.20166015625,39.89415156515609,0.2762400175160301
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.0.input_layernorm.weight,2048,2048,0.0,0.0,nan
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.0.mlp.down_proj.weight,"2048,11264",23068672,0.035888671875,6.915255755027444,1.033890041647811
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.0.mlp.gate_proj.weight,"11264,2048",23068672,0.03057861328125,5.204835536091767,0.10907704839952276
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.0.mlp.up_proj.weight,"11264,2048",23068672,0.0324554443359375,5.275371778864777,0.1546122185783944
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.0.post_attention_layernorm.weight,2048,2048,0.0,0.0,nan
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.0.self_attn.kv_a_layernorm.weight,512,512,0.0015869140625,0.002654853902701605,nan
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.0.self_attn.kv_a_proj_with_mqa.weight,"576,2048",1179648,0.017578125,1.8894497079366843,0.28500789161548024
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.0.self_attn.kv_b_proj.weight,"4096,512",2097152,0.0272216796875,3.433282102431003,0.11119794810789897
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.0.self_attn.o_proj.weight,"2048,2048",4194304,0.01079559326171875,2.07305828685793,0.13136938214302063
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.0.self_attn.q_proj.weight,"3072,2048",6291456,0.023193359375,2.4483227223927444,0.18596285390305078
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.input_layernorm.weight,2048,2048,0.0,0.0,nan
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.0.down_proj.weight,"2048,1408",2883584,0.014251708984375,3.2703434927647805,0.4901181140364769
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.0.gate_proj.weight,"1408,2048",2883584,0.01418304443359375,3.1772083862374587,1.057230050406567
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.0.up_proj.weight,"1408,2048",2883584,0.013458251953125,3.196044390364161,1.0884457863831316
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.1.down_proj.weight,"2048,1408",2883584,0.014129638671875,3.1980004977857477,0.4951072205811262
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.1.gate_proj.weight,"1408,2048",2883584,0.0137786865234375,3.116282243190766,1.0515205841800503
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.1.up_proj.weight,"1408,2048",2883584,0.01422882080078125,3.129098264824506,1.05434095583007
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.10.down_proj.weight,"2048,1408",2883584,0.016387939453125,2.9953883010752964,0.5115939072532331
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.10.gate_proj.weight,"1408,2048",2883584,0.01265716552734375,2.968631300309989,0.9865502457861968
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.10.up_proj.weight,"1408,2048",2883584,0.0135498046875,2.977898725817926,0.9753532970119942
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.11.down_proj.weight,"2048,1408",2883584,0.01467132568359375,3.076720561185415,0.4779790914737247
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.11.gate_proj.weight,"1408,2048",2883584,0.01348114013671875,3.0442167766243347,0.98417757956097
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.11.up_proj.weight,"1408,2048",2883584,0.01458740234375,3.034183930687812,0.9700264794650171
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.12.down_proj.weight,"2048,1408",2883584,0.010162353515625,2.239197548455862,0.32435731012690344
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,model.layers.1.mlp.experts.12.gate_proj.weight,"1408,2048",2883584,0.0099029541015625,2.1327425208156785,0.6705569102855179
